user_id,register_date,country,native_language,target_languages,user_type,age_group,gender,learning_goal,cohort
HT_010071,2026-01-19,Spain,Italian,Korean|Dutch|Japanese,free,18-24,Other,Travel,2026-01
HT_010072,2025-06-17,Australia,Italian,German|Spanish|English,free,18-24,Other,Travel,2025-06
HT_010073,2026-03-05,USA,Dutch,Spanish|Japanese,free,25-34,F,Immigration,2026-03
HT_010074,2025-08-16,Brazil,Italian,Arabic|Chinese|German,premium,25-34,Other,Travel,2025-08
HT_010075,2025-06-27,Brazil,Russian,German|Japanese|Arabic,free,25-34,F,Exam,2025-06
HT_010076,2025-05-23,France,English,Italian|Russian|German,free,35-44,M,Travel,2025-05
HT_010077,2025-11-11,Brazil,English,Russian,free,35-44,F,Travel,2025-11
HT_010078,2025-12-22,France,Japanese,Arabic|French|Chinese,free,25-34,M,Exam,2025-12
HT_010079,2025-10-17,Germany,Japanese,Spanish,free,18-24,M,Hobby,2025-10
HT_010080,2026-04-12,Mexico,Spanish,German|Korean,free,45+,M,Business,2026-04
HT_010081,2025-09-18,France,Dutch,German,free,25-34,F,Exam,2025-09
HT_010082,2025-11-23,France,Dutch,Arabic|German,free,18-24,Other,Business,2025-11
HT_010083,2025-11-18,Canada,Dutch,French|Arabic|Spanish,free,18-24,F,Business,2025-11
HT_010084,2026-01-18,Brazil,Russian,Italian|Spanish|Korean,free,25-34,M,Exam,2026-01
HT_010085,2025-12-24,Japan,Japanese,Arabic|Dutch,free,35-44,F,Business,2025-12
HT_010086,2025-08-24,France,German,Russian|Portuguese|Japanese,free,45+,F,Hobby,2025-08
HT_010087,2025-11-22,Australia,French,Arabic|Portuguese,premium,18-24,F,Travel,2025-11
HT_010088,2025-08-06,Spain,Russian,German|Chinese,free,25-34,Other,Immigration,2025-08
HT_010089,2026-01-14,South Korea,English,Japanese|French|Italian,free,25-34,M,Exam,2026-01
HT_010090,2025-04-24,France,Chinese,English|Korean,free,35-44,M,Travel,2025-04
HT_010091,2025-07-19,Mexico,German,Italian|Russian,free,25-34,F,Immigration,2025-07
HT_010092,2025-08-16,Canada,English,German|Chinese|Russian,free,18-24,F,Hobby,2025-08
HT_010093,2025-12-11,South Korea,Italian,Spanish|Chinese,free,18-24,M,Immigration,2025-12
HT_010094,2025-05-01,Japan,Dutch,Japanese|French,free,18-24,M,Business,2025-05
HT_010095,2025-09-29,USA,French,Spanish,free,25-34,M,Immigration,2025-09
HT_010096,2025-08-28,Mexico,Korean,Spanish|Portuguese,free,25-34,F,Travel,2025-08
HT_010097,2025-07-10,France,Japanese,Chinese|Italian|Portuguese,free,18-24,F,Exam,2025-07
HT_010098,2025-05-15,Canada,English,Russian|Chinese,free,45+,M,Business,2025-05
HT_010099,2025-08-21,Australia,Russian,Portuguese,free,45+,Other,Business,2025-08
HT_010100,2025-08-06,UK,Japanese,Dutch|Italian|German,free,25-34,F,Business,2025-08
HT_010101,2025-04-15,China,Italian,Dutch,free,25-34,Other,Business,2025-04
HT_010102,2025-08-17,Germany,Arabic,Spanish|Dutch|Russian,free,25-34,M,Business,2025-08
HT_010103,2025-10-19,South Korea,Portuguese,French|Korean|German,free,18-24,M,Exam,2025-10
HT_010104,2025-11-27,Mexico,Spanish,Italian|English|Korean,free,18-24,F,Immigration,2025-11
HT_010105,2025-06-18,China,Dutch,English|Chinese,free,25-34,Other,Travel,2025-06
HT_010106,2025-07-01,France,Chinese,English|Arabic|Spanish,free,25-34,M,Travel,2025-07
HT_010107,2025-09-26,UK,Korean,Arabic|Italian|Chinese,free,35-44,M,Travel,2025-09
HT_010108,2025-06-23,Germany,Dutch,Russian|Arabic|Korean,free,18-24,M,Business,2025-06
HT_010109,2025-06-25,France,Portuguese,English,free,18-24,F,Exam,2025-06
HT_010110,2025-07-21,Brazil,Japanese,Korean,free,25-34,Other,Hobby,2025-07
HT_010111,2025-12-31,UK,Italian,Portuguese,free,18-24,Other,Exam,2025-12
HT_010112,2025-10-28,Spain,German,Portuguese|Italian|Spanish,free,35-44,Other,Travel,2025-10
HT_010113,2025-12-04,USA,English,Portuguese,free,35-44,F,Exam,2025-12
HT_010114,2026-04-02,UK,Italian,Korean|Dutch|French,free,45+,M,Business,2026-04
HT_010115,2025-06-22,France,French,Spanish|Italian|Russian,premium,18-24,Other,Travel,2025-06
HT_010116,2025-09-25,Spain,Arabic,German|Russian,free,18-24,M,Immigration,2025-09
HT_010117,2025-05-26,USA,French,Russian,free,25-34,Other,Exam,2025-05
HT_010118,2025-10-14,Spain,English,Arabic|Japanese|Portuguese,premium,25-34,F,Travel,2025-10
HT_010119,2025-08-02,Australia,Arabic,Japanese,premium,35-44,M,Business,2025-08
HT_010120,2025-12-06,Mexico,Portuguese,French|Chinese,premium,18-24,M,Travel,2025-12
HT_010121,2025-12-20,Spain,Korean,Japanese|Arabic,free,25-34,Other,Travel,2025-12
HT_010122,2025-05-04,Mexico,Spanish,Japanese|Arabic|German,free,18-24,Other,Business,2025-05
HT_010123,2026-02-21,Brazil,German,English,free,25-34,M,Immigration,2026-02
HT_010124,2025-11-24,Canada,French,Italian|Arabic|English,free,45+,Other,Immigration,2025-11
HT_010125,2026-02-04,Australia,Chinese,Spanish,free,18-24,Other,Immigration,2026-02
HT_010126,2025-09-17,South Korea,Korean,English|Japanese,premium,35-44,Other,Immigration,2025-09
HT_010127,2026-03-19,Mexico,Portuguese,Dutch|Chinese,premium,35-44,F,Exam,2026-03
HT_010128,2025-06-20,USA,Chinese,English|French,free,25-34,Other,Exam,2025-06
HT_010129,2025-07-29,China,Dutch,French|English,free,25-34,M,Exam,2025-07
HT_010130,2025-06-03,USA,Japanese,Dutch|Spanish,free,18-24,M,Hobby,2025-06
HT_010131,2025-06-24,France,French,Dutch,free,45+,Other,Business,2025-06
HT_010132,2026-04-10,Spain,Russian,Arabic,premium,25-34,M,Immigration,2026-04
HT_010133,2025-04-17,UK,German,English|Spanish,free,35-44,F,Hobby,2025-04
HT_010134,2025-09-09,Mexico,Korean,Portuguese|Dutch|Arabic,free,25-34,F,Business,2025-09
HT_010135,2025-12-24,China,Russian,Spanish|English|Italian,premium,18-24,M,Hobby,2025-12
HT_010136,2025-10-13,Japan,Italian,French|Chinese,free,35-44,M,Exam,2025-10
HT_010137,2025-11-26,UK,Japanese,English|Spanish|Korean,free,35-44,Other,Exam,2025-11
HT_010138,2025-05-30,Brazil,Spanish,Russian|Korean|English,free,35-44,F,Exam,2025-05
HT_010139,2025-10-28,Canada,Arabic,Italian|English,free,25-34,F,Immigration,2025-10
HT_010140,2025-12-15,Germany,Korean,Italian,free,18-24,M,Travel,2025-12
HT_010141,2025-11-13,Japan,Arabic,German,premium,18-24,Other,Exam,2025-11
HT_010142,2025-12-08,Mexico,German,Chinese,free,25-34,F,Exam,2025-12
HT_010143,2025-10-28,Germany,Korean,German,free,25-34,F,Immigration,2025-10
HT_010144,2026-03-17,USA,German,Italian|Arabic|English,free,25-34,F,Hobby,2026-03
HT_010145,2025-04-29,South Korea,German,French,free,18-24,M,Immigration,2025-04
HT_010146,2025-06-20,Japan,Russian,Chinese|Portuguese,free,35-44,M,Hobby,2025-06
HT_010147,2026-03-25,Spain,Korean,Arabic,free,45+,F,Business,2026-03
HT_010148,2025-07-18,France,Russian,Arabic|Spanish|German,free,25-34,Other,Travel,2025-07
HT_010149,2026-01-05,Brazil,Italian,Chinese,free,25-34,F,Exam,2026-01
HT_010150,2025-07-13,Australia,Chinese,Dutch|Portuguese,free,18-24,Other,Exam,2025-07
HT_010151,2025-09-24,Canada,German,Chinese|Russian,premium,18-24,Other,Travel,2025-09
HT_010152,2025-08-11,Brazil,Arabic,German,free,25-34,Other,Hobby,2025-08
HT_010153,2026-04-05,China,English,Italian|Chinese,free,35-44,M,Travel,2026-04
HT_010154,2026-01-27,Mexico,Chinese,Japanese|Portuguese|Italian,free,25-34,M,Exam,2026-01
HT_010155,2025-11-20,South Korea,Russian,Portuguese|Dutch|Chinese,free,18-24,Other,Hobby,2025-11
HT_010156,2026-02-20,China,Russian,Arabic,free,18-24,Other,Business,2026-02
HT_010157,2026-02-12,Brazil,Chinese,Japanese|Portuguese|English,free,25-34,M,Exam,2026-02
HT_010158,2025-04-21,France,English,Chinese|Japanese|Spanish,free,18-24,F,Travel,2025-04
HT_010159,2025-06-24,Australia,French,Japanese,free,25-34,F,Hobby,2025-06
HT_010160,2025-05-05,Brazil,German,English|Russian,premium,45+,M,Business,2025-05
HT_010161,2025-06-06,Australia,Dutch,Russian,free,18-24,F,Immigration,2025-06
HT_010162,2025-11-08,Japan,English,Portuguese|Italian|Spanish,free,18-24,Other,Hobby,2025-11
HT_010163,2025-11-03,Canada,Japanese,English,premium,18-24,Other,Immigration,2025-11
HT_010164,2026-02-09,South Korea,Korean,Arabic|Dutch|English,premium,35-44,F,Exam,2026-02
HT_010165,2026-03-03,China,Russian,Arabic,free,25-34,M,Travel,2026-03
HT_010166,2026-04-04,South Korea,Dutch,French|Korean|Portuguese,premium,25-34,Other,Travel,2026-04
HT_010167,2026-02-17,Canada,Arabic,Chinese,free,25-34,Other,Immigration,2026-02
HT_010168,2026-01-23,China,Portuguese,Arabic|Spanish,free,45+,Other,Business,2026-01
HT_010169,2025-12-09,South Korea,Italian,French,free,45+,M,Travel,2025-12
HT_010170,2026-02-13,Canada,German,French,free,25-34,M,Exam,2026-02
HT_010171,2025-05-07,Brazil,Italian,Korean|Japanese|Russian,free,18-24,M,Exam,2025-05
HT_010172,2026-02-05,France,Russian,Spanish,premium,18-24,Other,Hobby,2026-02
HT_010173,2025-09-05,Mexico,German,English|Dutch|Russian,free,18-24,M,Business,2025-09
HT_010174,2025-05-22,Germany,Italian,Spanish,free,18-24,M,Business,2025-05
HT_010175,2026-04-04,Brazil,Dutch,Italian,free,25-34,Other,Travel,2026-04
HT_010176,2026-02-05,China,Russian,Korean|Spanish,free,25-34,F,Exam,2026-02
HT_010177,2026-03-11,USA,German,Russian|Spanish,free,45+,M,Business,2026-03
HT_010178,2025-10-10,France,Dutch,English|Korean|Arabic,premium,35-44,F,Business,2025-10
HT_010179,2025-11-27,Germany,French,Dutch,free,45+,Other,Business,2025-11
HT_010180,2025-08-23,France,Japanese,Spanish,premium,18-24,F,Immigration,2025-08
HT_010181,2025-04-16,Spain,Chinese,Japanese|Italian|English,free,18-24,F,Business,2025-04
HT_010182,2025-05-01,Mexico,Italian,English,premium,45+,F,Travel,2025-05
HT_010183,2026-01-17,South Korea,German,Dutch|Korean,free,25-34,F,Hobby,2026-01
HT_010184,2026-01-05,China,Korean,Arabic|Japanese|German,free,25-34,F,Business,2026-01
HT_010185,2026-04-01,Mexico,Chinese,Korean,free,25-34,F,Hobby,2026-04
HT_010186,2025-12-03,Germany,Arabic,English|Italian|Korean,free,25-34,M,Business,2025-12
HT_010187,2025-10-21,South Korea,Dutch,Arabic,free,18-24,Other,Immigration,2025-10
HT_010188,2025-06-25,UK,Russian,French,free,25-34,M,Hobby,2025-06
HT_010189,2025-05-28,Australia,Italian,English|Arabic|Japanese,free,25-34,Other,Hobby,2025-05
HT_010190,2025-09-08,Japan,Chinese,Portuguese,premium,18-24,Other,Exam,2025-09
HT_010191,2025-05-16,Brazil,Chinese,English|Russian|French,free,35-44,M,Hobby,2025-05
HT_010192,2025-11-07,Japan,French,German|Portuguese|Russian,free,18-24,Other,Exam,2025-11
HT_010193,2026-01-06,Canada,Spanish,Russian|French,free,35-44,Other,Business,2026-01
HT_010194,2026-02-23,Brazil,Arabic,German|Spanish|Portuguese,free,18-24,Other,Hobby,2026-02
HT_010195,2026-02-14,USA,Dutch,Spanish|German,free,35-44,Other,Immigration,2026-02
HT_010196,2026-03-07,Australia,Arabic,Portuguese,premium,35-44,F,Exam,2026-03
HT_010197,2026-03-27,Japan,French,Chinese,free,25-34,Other,Business,2026-03
HT_010198,2025-11-30,Brazil,Russian,German|Japanese|Portuguese,free,25-34,M,Hobby,2025-11
HT_010199,2025-11-21,Canada,French,Italian|Arabic|Japanese,free,25-34,Other,Hobby,2025-11
HT_010200,2026-03-23,Spain,Italian,Japanese,premium,25-34,F,Business,2026-03
HT_010201,2026-03-14,Canada,French,Portuguese|English|Spanish,free,25-34,F,Immigration,2026-03
HT_010202,2025-07-09,USA,Italian,Spanish|Korean|Dutch,premium,25-34,F,Travel,2025-07
HT_010203,2025-09-06,China,French,Korean|German,free,18-24,F,Immigration,2025-09
HT_010204,2025-10-13,USA,German,English,free,35-44,F,Travel,2025-10
HT_010205,2025-07-15,Germany,Portuguese,English|Korean|Russian,premium,25-34,M,Business,2025-07
HT_010206,2025-08-22,South Korea,Arabic,Portuguese,free,25-34,M,Business,2025-08
HT_010207,2025-07-03,Brazil,English,Spanish|Chinese|Dutch,free,18-24,F,Business,2025-07
HT_010208,2025-11-20,Australia,French,Russian,premium,18-24,M,Travel,2025-11
HT_010209,2025-11-18,Australia,French,Russian,free,25-34,F,Exam,2025-11
HT_010210,2025-10-10,Spain,Dutch,Chinese,free,35-44,F,Business,2025-10
HT_010211,2025-09-25,France,German,Korean|Dutch|Japanese,free,18-24,Other,Business,2025-09
HT_010212,2025-11-07,Spain,Russian,Chinese,premium,25-34,M,Hobby,2025-11
HT_010213,2025-04-27,China,French,Portuguese|Dutch|Italian,free,25-34,M,Exam,2025-04
HT_010214,2025-06-28,Japan,Italian,English|Korean,free,25-34,M,Travel,2025-06
HT_010215,2026-03-07,Japan,French,Portuguese,free,35-44,M,Travel,2026-03
HT_010216,2025-09-17,South Korea,Spanish,French|English|Italian,free,25-34,F,Travel,2025-09
HT_010217,2025-06-03,Brazil,Russian,Spanish|French|German,free,18-24,Other,Immigration,2025-06
HT_010218,2026-03-10,USA,Japanese,Arabic,free,25-34,M,Hobby,2026-03
HT_010219,2025-07-23,Mexico,French,Arabic|Portuguese|German,free,18-24,Other,Hobby,2025-07
HT_010220,2025-11-17,Germany,Arabic,Korean,free,18-24,Other,Travel,2025-11
HT_010221,2025-08-05,Brazil,Russian,Arabic|Italian|Chinese,premium,35-44,F,Immigration,2025-08
HT_010222,2026-03-12,France,English,Chinese,free,35-44,Other,Hobby,2026-03
HT_010223,2026-01-21,Germany,Italian,French|German|Korean,free,25-34,M,Exam,2026-01
HT_010224,2025-05-09,Brazil,Italian,Portuguese,free,25-34,Other,Business,2025-05
HT_010225,2025-12-28,Mexico,German,Arabic|English|Japanese,free,35-44,M,Travel,2025-12
HT_010226,2025-08-31,Brazil,Japanese,French|German,premium,18-24,Other,Immigration,2025-08
HT_010227,2025-11-13,Canada,Japanese,Dutch|Korean,premium,25-34,M,Hobby,2025-11
HT_010228,2025-07-22,Japan,Spanish,Arabic,free,25-34,M,Immigration,2025-07
HT_010229,2025-06-13,Germany,Dutch,Korean|Japanese,premium,45+,M,Travel,2025-06
HT_010230,2026-03-18,Spain,Korean,Italian|Portuguese|Japanese,free,18-24,Other,Immigration,2026-03
HT_010231,2025-06-25,Brazil,Korean,Chinese|French|Japanese,free,25-34,Other,Immigration,2025-06
HT_010232,2025-05-25,France,Arabic,Korean|English,free,18-24,M,Exam,2025-05
HT_010233,2025-07-29,Germany,Chinese,Japanese|Russian,free,18-24,Other,Exam,2025-07
HT_010234,2025-09-25,UK,German,Japanese|Korean|Portuguese,free,35-44,Other,Exam,2025-09
HT_010235,2025-11-10,Germany,German,Japanese,free,18-24,M,Exam,2025-11
HT_010236,2025-05-31,USA,Portuguese,Italian|German|Arabic,free,18-24,M,Immigration,2025-05
HT_010237,2025-08-27,France,German,English,premium,18-24,F,Exam,2025-08
HT_010238,2026-01-19,USA,Russian,Italian|German|Japanese,free,18-24,M,Exam,2026-01
HT_010239,2025-11-29,Japan,Russian,Dutch|French,free,25-34,Other,Travel,2025-11
HT_010240,2026-02-15,China,English,Russian|Portuguese|Chinese,free,25-34,M,Travel,2026-02
HT_010241,2025-11-11,China,Italian,Japanese,free,18-24,Other,Business,2025-11
HT_010242,2025-11-18,Spain,Arabic,Korean|Portuguese,premium,25-34,M,Hobby,2025-11
HT_010243,2026-03-31,Spain,Dutch,Italian|Arabic,free,25-34,Other,Exam,2026-03
HT_010244,2025-12-26,Spain,Korean,English|French,free,18-24,M,Travel,2025-12
HT_010245,2026-03-29,Mexico,Portuguese,Italian,free,18-24,F,Immigration,2026-03
HT_010246,2025-04-22,Brazil,Japanese,French,free,25-34,Other,Immigration,2025-04
HT_010247,2025-07-16,Australia,Italian,Arabic|Korean|Chinese,free,25-34,Other,Hobby,2025-07
HT_010248,2026-03-16,Canada,Japanese,French|Chinese|Russian,free,18-24,M,Hobby,2026-03
HT_010249,2025-06-05,Australia,Korean,Arabic|Portuguese,free,18-24,M,Travel,2025-06
HT_010250,2026-02-19,USA,French,Chinese|Korean,free,18-24,M,Travel,2026-02
HT_010251,2025-08-21,Japan,Arabic,Italian,free,18-24,F,Hobby,2025-08
HT_010252,2025-12-31,Germany,English,Italian,free,35-44,F,Business,2025-12
HT_010253,2025-11-17,South Korea,Dutch,Japanese|German|English,free,25-34,M,Exam,2025-11
HT_010254,2025-11-29,Germany,Korean,Portuguese|Dutch|Japanese,free,18-24,M,Business,2025-11
HT_010255,2026-04-12,Germany,Spanish,English|French,free,18-24,F,Immigration,2026-04
HT_010256,2026-01-09,France,Dutch,Japanese,free,25-34,Other,Hobby,2026-01
HT_010257,2025-05-20,China,Chinese,Korean,free,18-24,M,Hobby,2025-05
HT_010258,2025-07-25,Mexico,French,German|Portuguese,free,18-24,M,Hobby,2025-07
HT_010259,2026-02-12,Australia,Chinese,Korean|Portuguese,free,18-24,M,Exam,2026-02
HT_010260,2025-07-23,USA,French,German|Arabic,free,25-34,M,Exam,2025-07
HT_010261,2025-09-05,Mexico,Italian,French,premium,25-34,F,Business,2025-09
HT_010262,2025-04-12,Mexico,French,Russian|Italian,free,45+,Other,Hobby,2025-04
HT_010263,2025-12-09,Japan,Chinese,Spanish|Portuguese|Italian,free,25-34,Other,Business,2025-12
HT_010264,2025-11-14,Mexico,Spanish,Italian|French|Portuguese,free,25-34,M,Hobby,2025-11
HT_010265,2025-09-22,Australia,English,Dutch,free,35-44,F,Travel,2025-09
HT_010266,2025-12-11,Canada,Dutch,English,free,25-34,M,Travel,2025-12
HT_010267,2025-07-21,France,Japanese,Spanish,free,18-24,M,Business,2025-07
HT_010268,2025-11-20,Brazil,Italian,German|Arabic,free,25-34,F,Hobby,2025-11
HT_010269,2025-10-25,Australia,Japanese,German,free,35-44,M,Immigration,2025-10
HT_010270,2025-05-14,Brazil,Russian,French,free,45+,F,Hobby,2025-05
HT_010271,2025-04-29,Australia,Italian,Chinese,free,18-24,F,Business,2025-04
HT_010272,2026-03-26,China,Arabic,German,free,25-34,F,Immigration,2026-03
HT_010273,2026-02-21,South Korea,Chinese,Spanish|Arabic|Russian,free,25-34,M,Exam,2026-02
HT_010274,2026-02-11,Brazil,Italian,Japanese|Russian,free,18-24,M,Travel,2026-02
HT_010275,2026-02-08,Brazil,Chinese,Dutch|Russian,free,25-34,F,Immigration,2026-02
HT_010276,2025-11-04,Brazil,Dutch,Spanish,free,18-24,Other,Immigration,2025-11
HT_010277,2025-10-30,Brazil,Dutch,Spanish,free,25-34,Other,Hobby,2025-10
HT_010278,2026-03-29,UK,Japanese,English,free,25-34,Other,Hobby,2026-03
HT_010279,2026-01-08,USA,Chinese,Arabic|Italian|English,premium,25-34,F,Business,2026-01
HT_010280,2026-01-17,Spain,Russian,German,premium,25-34,M,Travel,2026-01
HT_010281,2026-02-25,Japan,Dutch,Japanese,free,18-24,F,Immigration,2026-02
HT_010282,2025-10-27,Spain,Spanish,Chinese|Portuguese|Dutch,free,18-24,M,Immigration,2025-10
HT_010283,2026-04-02,USA,Chinese,Arabic|Dutch|Italian,free,18-24,Other,Hobby,2026-04
HT_010284,2025-05-14,Brazil,Italian,Portuguese|Korean,free,35-44,F,Hobby,2025-05
HT_010285,2025-09-28,Australia,Arabic,Spanish,free,35-44,Other,Business,2025-09
HT_010286,2025-10-19,Germany,Spanish,Korean|Dutch|Japanese,free,25-34,M,Business,2025-10
HT_010287,2025-08-04,Canada,Chinese,Portuguese,free,18-24,M,Hobby,2025-08
HT_010288,2025-08-20,France,Spanish,Chinese,premium,18-24,Other,Business,2025-08
HT_010289,2026-01-17,UK,Korean,Dutch|Russian,premium,25-34,M,Business,2026-01
HT_010290,2025-04-21,Germany,Spanish,German|Dutch|Chinese,free,25-34,F,Travel,2025-04
HT_010291,2026-03-16,France,Korean,Spanish|Japanese,free,18-24,F,Hobby,2026-03
HT_010292,2025-06-27,China,Spanish,Arabic,free,25-34,Other,Immigration,2025-06
HT_010293,2026-01-27,Japan,English,Japanese|Korean|Chinese,free,18-24,Other,Hobby,2026-01
HT_010294,2025-04-15,South Korea,Portuguese,Russian,free,25-34,Other,Travel,2025-04
HT_010295,2025-07-06,UK,German,Chinese,free,45+,M,Travel,2025-07
HT_010296,2025-12-27,Japan,Spanish,Arabic|Korean,free,18-24,Other,Business,2025-12
HT_010297,2025-10-13,Australia,Italian,Spanish,free,25-34,F,Travel,2025-10
HT_010298,2026-03-27,Brazil,Spanish,Korean|Italian,free,25-34,Other,Immigration,2026-03
