pair_id,user_a_id,user_b_id,pair_date,match_success,response_time_hours,conversation_duration_min,messages_exchanged,pair_rating
PAIR_000133,HT_017421,HT_011462,2026-02-25,0,,,0,
PAIR_000134,HT_018946,HT_011002,2025-09-19,1,0.27,23.94,7,
PAIR_000135,HT_017828,HT_010642,2025-04-22,0,,,0,
PAIR_000136,HT_017520,HT_011935,2025-08-03,0,,,0,
PAIR_000137,HT_013968,HT_016732,2025-06-14,0,,,0,
PAIR_000138,HT_018850,HT_018003,2025-05-12,0,,,0,
PAIR_000139,HT_015362,HT_013317,2025-08-21,0,,,0,
PAIR_000140,HT_014310,HT_013967,2025-11-18,0,,,0,
PAIR_000141,HT_017702,HT_016627,2025-10-18,0,,,0,
PAIR_000142,HT_012859,HT_010546,2026-03-24,0,,,0,
PAIR_000143,HT_014429,HT_018598,2025-07-26,1,0.43,12.3,6,3.0
PAIR_000144,HT_019414,HT_010952,2025-07-07,0,,,0,
PAIR_000145,HT_019269,HT_019405,2025-07-09,0,,,0,
PAIR_000146,HT_012256,HT_011013,2025-08-19,0,,,0,
PAIR_000147,HT_013018,HT_012525,2025-10-20,0,,,0,
PAIR_000148,HT_012864,HT_013047,2025-11-11,1,3.21,15.66,7,5.0
PAIR_000149,HT_019221,HT_018963,2025-09-22,0,,,0,
PAIR_000150,HT_015700,HT_019231,2025-06-22,1,0.47,20.04,8,
PAIR_000151,HT_014887,HT_019268,2026-01-03,0,,,0,
PAIR_000152,HT_017370,HT_014674,2025-09-15,0,,,0,
PAIR_000153,HT_016621,HT_016070,2025-11-02,0,,,0,
PAIR_000154,HT_017565,HT_011037,2025-12-28,0,,,0,
PAIR_000155,HT_018716,HT_011957,2025-10-22,1,0.23,1.67,4,5.0
PAIR_000156,HT_015670,HT_018261,2025-06-08,0,,,0,
PAIR_000157,HT_011381,HT_011799,2025-09-23,1,0.78,14.45,10,4.0
PAIR_000158,HT_018980,HT_014585,2026-02-20,1,0.67,9.36,7,4.0
PAIR_000159,HT_018766,HT_019525,2025-08-13,0,,,0,
PAIR_000160,HT_012422,HT_016210,2025-06-09,0,,,0,
PAIR_000161,HT_017146,HT_018569,2026-03-31,0,,,0,
PAIR_000162,HT_010932,HT_012699,2025-06-09,1,0.56,18.31,6,5.0
PAIR_000163,HT_017566,HT_011576,2026-02-17,0,,,0,
PAIR_000164,HT_019319,HT_018905,2025-07-22,0,,,0,
PAIR_000165,HT_012791,HT_018716,2025-12-29,1,1.01,17.82,10,
PAIR_000166,HT_017784,HT_014446,2026-04-11,0,,,0,
PAIR_000167,HT_010151,HT_011529,2025-05-06,0,,,0,
PAIR_000168,HT_018533,HT_013860,2025-05-30,0,,,0,
PAIR_000169,HT_015969,HT_012814,2025-04-14,0,,,0,
PAIR_000170,HT_015904,HT_011648,2025-11-11,0,,,0,
PAIR_000171,HT_019512,HT_015834,2025-07-08,1,0.78,30.82,7,5.0
PAIR_000172,HT_010357,HT_011142,2026-02-08,0,,,0,
PAIR_000173,HT_017311,HT_019142,2026-03-21,0,,,0,
PAIR_000174,HT_012748,HT_018024,2026-03-08,0,,,0,
PAIR_000175,HT_010012,HT_017542,2026-03-07,0,,,0,
PAIR_000176,HT_015686,HT_018597,2025-06-24,0,,,0,
PAIR_000177,HT_016253,HT_015577,2025-06-29,0,,,0,
PAIR_000178,HT_017756,HT_017355,2025-12-10,1,0.82,0.62,9,4.0
PAIR_000179,HT_012840,HT_013402,2025-12-11,1,0.86,28.43,7,
PAIR_000180,HT_016526,HT_015153,2025-12-30,1,0.36,26.77,11,
PAIR_000181,HT_015158,HT_019085,2025-09-11,1,0.53,20.65,12,3.0
PAIR_000182,HT_019059,HT_019220,2026-02-13,0,,,0,
PAIR_000183,HT_018573,HT_012433,2026-01-31,0,,,0,
PAIR_000184,HT_014448,HT_012445,2025-11-07,0,,,0,
PAIR_000185,HT_018043,HT_012230,2025-06-20,0,,,0,
PAIR_000186,HT_017570,HT_016770,2025-06-18,0,,,0,
PAIR_000187,HT_018012,HT_018032,2025-09-23,0,,,0,
PAIR_000188,HT_010897,HT_017358,2025-08-19,0,,,0,
PAIR_000189,HT_019201,HT_012935,2025-07-21,0,,,0,
PAIR_000190,HT_019159,HT_012949,2026-01-03,1,0.75,44.57,7,5.0
PAIR_000191,HT_011559,HT_017906,2025-12-30,1,3.75,20.13,9,5.0
PAIR_000192,HT_015025,HT_015187,2025-12-22,1,4.78,10.43,7,4.0
PAIR_000193,HT_011559,HT_014267,2026-01-30,0,,,0,
PAIR_000194,HT_012489,HT_013174,2025-12-20,0,,,0,
PAIR_000195,HT_019659,HT_017725,2025-07-02,1,4.11,27.18,13,4.0
PAIR_000196,HT_012378,HT_019365,2025-05-29,0,,,0,
PAIR_000197,HT_018397,HT_017673,2025-09-22,1,5.07,41.85,6,
PAIR_000198,HT_010090,HT_011142,2025-08-13,1,0.81,45.4,7,3.0
PAIR_000199,HT_016201,HT_011881,2025-11-03,0,,,0,
PAIR_000200,HT_012278,HT_013438,2025-11-21,0,,,0,
PAIR_000201,HT_012778,HT_011406,2025-09-02,0,,,0,
PAIR_000202,HT_016591,HT_017800,2025-08-01,0,,,0,
PAIR_000203,HT_010603,HT_017099,2025-10-03,0,,,0,
PAIR_000204,HT_012349,HT_016641,2025-07-19,0,,,0,
PAIR_000205,HT_011471,HT_012747,2026-03-24,1,1.38,1.61,6,3.0
PAIR_000206,HT_012368,HT_015169,2025-11-13,1,6.49,20.15,8,3.0
PAIR_000207,HT_013293,HT_014450,2025-06-18,0,,,0,
PAIR_000208,HT_016351,HT_011698,2025-04-13,0,,,0,
PAIR_000209,HT_010697,HT_018948,2025-12-18,1,0.07,9.11,8,4.0
PAIR_000210,HT_010519,HT_018669,2025-07-12,0,,,0,
PAIR_000211,HT_013278,HT_011352,2025-05-04,1,0.4,6.45,5,
PAIR_000212,HT_010615,HT_017759,2025-07-01,0,,,0,
PAIR_000213,HT_010865,HT_016481,2025-11-10,0,,,0,
PAIR_000214,HT_018115,HT_014025,2025-12-08,0,,,0,
PAIR_000215,HT_011655,HT_013821,2025-12-08,0,,,0,
PAIR_000216,HT_018767,HT_018110,2025-04-30,1,0.5,12.76,4,
PAIR_000217,HT_019031,HT_015725,2025-07-26,0,,,0,
PAIR_000218,HT_019157,HT_018428,2025-08-31,0,,,0,
PAIR_000219,HT_011108,HT_010836,2025-11-04,0,,,0,
PAIR_000220,HT_010040,HT_010139,2025-05-23,1,2.12,18.81,8,3.0
PAIR_000221,HT_013114,HT_011802,2026-02-04,0,,,0,
PAIR_000222,HT_013749,HT_019742,2025-05-13,0,,,0,
PAIR_000223,HT_017100,HT_012781,2025-07-10,1,0.18,20.82,6,3.0
PAIR_000224,HT_014411,HT_010044,2025-08-20,0,,,0,
PAIR_000225,HT_010776,HT_010438,2025-07-07,0,,,0,
PAIR_000226,HT_017217,HT_011271,2025-05-18,1,0.6,60.12,12,5.0
PAIR_000227,HT_013128,HT_016767,2025-11-19,0,,,0,
PAIR_000228,HT_010771,HT_018145,2025-09-21,1,0.05,4.1,8,
PAIR_000229,HT_018618,HT_013558,2025-04-18,0,,,0,
PAIR_000230,HT_012520,HT_014883,2026-01-02,0,,,0,
PAIR_000231,HT_010760,HT_012399,2026-02-08,0,,,0,
PAIR_000232,HT_014951,HT_015538,2025-07-01,1,0.04,4.86,4,4.0
PAIR_000233,HT_012895,HT_012637,2025-06-23,0,,,0,
PAIR_000234,HT_015400,HT_016067,2025-09-22,0,,,0,
PAIR_000235,HT_010672,HT_015519,2026-01-11,0,,,0,
PAIR_000236,HT_010518,HT_018437,2025-07-02,1,4.61,37.28,8,3.0
PAIR_000237,HT_011797,HT_012511,2026-03-02,0,,,0,
PAIR_000238,HT_012907,HT_015765,2025-12-15,0,,,0,
PAIR_000239,HT_017077,HT_019161,2026-03-07,1,0.36,18.85,10,5.0
PAIR_000240,HT_016396,HT_013609,2026-01-17,1,0.48,29.05,7,
PAIR_000241,HT_017501,HT_017111,2025-11-02,0,,,0,
PAIR_000242,HT_016125,HT_011675,2025-11-11,1,0.16,24.33,8,5.0
PAIR_000243,HT_012021,HT_019780,2025-12-05,0,,,0,
PAIR_000244,HT_019080,HT_013450,2025-08-13,0,,,0,
PAIR_000245,HT_014901,HT_018116,2025-06-17,0,,,0,
PAIR_000246,HT_012285,HT_016927,2025-09-10,0,,,0,
PAIR_000247,HT_014903,HT_019491,2026-02-19,1,4.99,77.36,12,3.0
PAIR_000248,HT_012042,HT_011915,2025-04-25,0,,,0,
PAIR_000249,HT_014585,HT_011559,2025-07-11,1,8.79,34.28,12,3.0
PAIR_000250,HT_017351,HT_015073,2025-06-28,1,0.08,29.24,6,4.0
PAIR_000251,HT_017183,HT_013097,2025-09-08,1,0.76,64.79,6,4.0
PAIR_000252,HT_015887,HT_013763,2025-11-07,0,,,0,
PAIR_000253,HT_015303,HT_011948,2025-05-30,0,,,0,
PAIR_000254,HT_015515,HT_018678,2025-09-17,0,,,0,
PAIR_000255,HT_011806,HT_013703,2025-07-29,1,4.15,29.0,15,5.0
PAIR_000256,HT_015166,HT_012106,2025-12-22,0,,,0,
PAIR_000257,HT_014062,HT_012844,2025-04-24,0,,,0,
PAIR_000258,HT_010046,HT_015997,2026-03-06,0,,,0,
PAIR_000259,HT_018164,HT_010836,2026-03-28,0,,,0,
PAIR_000260,HT_014339,HT_016314,2025-07-22,0,,,0,
PAIR_000261,HT_018182,HT_018271,2025-11-27,1,0.88,10.14,3,3.0
PAIR_000262,HT_014991,HT_012675,2025-11-13,1,0.97,9.67,9,4.0
PAIR_000263,HT_011579,HT_019571,2025-06-29,0,,,0,
PAIR_000264,HT_014825,HT_016056,2025-11-09,0,,,0,
PAIR_000265,HT_013517,HT_011109,2026-01-30,0,,,0,
PAIR_000266,HT_016035,HT_012865,2025-11-25,0,,,0,
PAIR_000267,HT_015669,HT_010988,2026-01-02,0,,,0,
PAIR_000268,HT_019770,HT_013220,2025-08-18,0,,,0,
PAIR_000269,HT_013489,HT_015893,2026-04-08,1,9.46,55.1,6,
PAIR_000270,HT_018804,HT_016246,2025-06-24,0,,,0,
PAIR_000271,HT_016242,HT_011015,2025-12-27,0,,,0,
PAIR_000272,HT_019480,HT_014199,2026-01-19,0,,,0,
PAIR_000273,HT_013342,HT_015401,2025-10-05,1,6.95,71.37,9,
PAIR_000274,HT_018169,HT_013060,2025-11-30,1,1.54,68.54,10,4.0
PAIR_000275,HT_011044,HT_011905,2025-09-12,1,0.93,78.4,5,4.0
PAIR_000276,HT_016411,HT_015945,2025-08-08,0,,,0,
PAIR_000277,HT_010965,HT_018533,2025-09-29,0,,,0,
PAIR_000278,HT_019870,HT_015345,2025-11-22,0,,,0,
PAIR_000279,HT_016340,HT_010157,2025-12-20,1,3.81,11.65,15,
PAIR_000280,HT_012995,HT_018934,2025-07-17,1,4.26,21.9,5,5.0
PAIR_000281,HT_014380,HT_014566,2025-07-05,0,,,0,
PAIR_000282,HT_019075,HT_013468,2025-11-26,0,,,0,
PAIR_000283,HT_010402,HT_011224,2026-02-24,1,0.68,27.95,13,
PAIR_000284,HT_016225,HT_015838,2025-05-05,0,,,0,
PAIR_000285,HT_012710,HT_011201,2025-06-09,1,5.54,17.31,5,5.0
PAIR_000286,HT_012362,HT_019533,2025-10-21,0,,,0,
PAIR_000287,HT_013120,HT_014726,2025-06-14,0,,,0,
PAIR_000288,HT_010286,HT_018754,2026-03-25,1,4.1,28.95,5,5.0
PAIR_000289,HT_012238,HT_014303,2026-01-17,0,,,0,
PAIR_000290,HT_019191,HT_017162,2026-03-20,1,0.78,69.22,9,4.0
PAIR_000291,HT_019616,HT_019425,2026-03-07,0,,,0,
PAIR_000292,HT_017985,HT_019579,2025-04-15,0,,,0,
PAIR_000293,HT_018565,HT_011686,2025-09-09,1,2.28,23.75,10,3.0
PAIR_000294,HT_017538,HT_018663,2025-07-01,0,,,0,
PAIR_000295,HT_012252,HT_016127,2026-01-09,0,,,0,
PAIR_000296,HT_010485,HT_019320,2026-03-14,0,,,0,
PAIR_000297,HT_015010,HT_014994,2025-10-13,0,,,0,
PAIR_000298,HT_012104,HT_014573,2025-11-09,1,4.49,13.61,13,5.0
PAIR_000299,HT_013457,HT_017948,2025-07-13,0,,,0,
PAIR_000300,HT_010212,HT_018845,2026-04-04,1,5.07,14.15,6,5.0
PAIR_000301,HT_018777,HT_014903,2025-07-20,0,,,0,
PAIR_000302,HT_019563,HT_014107,2025-05-24,0,,,0,
PAIR_000303,HT_014610,HT_010460,2026-01-25,0,,,0,
PAIR_000304,HT_017620,HT_018343,2025-12-17,1,1.35,27.56,4,
PAIR_000305,HT_017461,HT_015256,2025-12-21,0,,,0,
PAIR_000306,HT_012534,HT_017282,2026-01-16,0,,,0,
PAIR_000307,HT_016417,HT_014417,2026-01-20,1,1.0,13.99,7,3.0
PAIR_000308,HT_013157,HT_012035,2025-05-05,1,0.55,106.33,4,3.0
PAIR_000309,HT_016290,HT_018164,2026-01-03,1,0.86,24.56,6,3.0
PAIR_000310,HT_010940,HT_019560,2025-11-18,0,,,0,
PAIR_000311,HT_013219,HT_014740,2025-05-07,0,,,0,
PAIR_000312,HT_012372,HT_019727,2026-02-26,0,,,0,
PAIR_000313,HT_018929,HT_017631,2026-03-22,0,,,0,
PAIR_000314,HT_010650,HT_015899,2025-12-28,0,,,0,
PAIR_000315,HT_019994,HT_015769,2025-06-11,0,,,0,
PAIR_000316,HT_013980,HT_017625,2026-03-18,1,0.37,30.72,7,4.0
PAIR_000317,HT_014856,HT_018548,2026-03-20,1,0.83,12.51,8,5.0
PAIR_000318,HT_015940,HT_015107,2026-03-24,1,0.12,14.39,9,5.0
PAIR_000319,HT_012087,HT_014384,2026-01-20,0,,,0,
PAIR_000320,HT_018272,HT_010052,2026-02-26,1,11.22,16.75,4,
PAIR_000321,HT_013132,HT_012822,2025-07-05,0,,,0,
PAIR_000322,HT_015384,HT_016043,2026-03-08,1,0.6,52.64,9,
PAIR_000323,HT_010108,HT_015679,2025-06-16,1,1.33,22.92,10,5.0
PAIR_000324,HT_010078,HT_017277,2025-06-17,0,,,0,
PAIR_000325,HT_014576,HT_011528,2026-02-16,1,4.79,15.79,9,3.0
PAIR_000326,HT_019113,HT_016120,2025-09-06,1,0.99,14.12,8,5.0
PAIR_000327,HT_014645,HT_018663,2025-06-04,0,,,0,
PAIR_000328,HT_019229,HT_019844,2026-03-18,0,,,0,
PAIR_000329,HT_017759,HT_014036,2025-07-02,0,,,0,
PAIR_000330,HT_017885,HT_013464,2025-06-05,0,,,0,
PAIR_000331,HT_019145,HT_018089,2025-11-29,0,,,0,
PAIR_000332,HT_017438,HT_015072,2025-12-01,0,,,0,
PAIR_000333,HT_015677,HT_019241,2026-04-01,0,,,0,
PAIR_000334,HT_016942,HT_012291,2025-11-01,0,,,0,
PAIR_000335,HT_010425,HT_014337,2025-06-02,0,,,0,
PAIR_000336,HT_013077,HT_015295,2026-03-14,1,0.37,30.25,5,5.0
PAIR_000337,HT_013328,HT_013832,2025-09-30,1,2.67,19.27,6,4.0
PAIR_000338,HT_014800,HT_013626,2025-08-02,1,1.52,42.04,5,3.0
PAIR_000339,HT_017941,HT_013005,2025-07-14,1,6.07,23.47,6,
PAIR_000340,HT_013423,HT_019224,2026-03-15,1,0.74,10.87,13,5.0
PAIR_000341,HT_010613,HT_017061,2026-03-25,0,,,0,
PAIR_000342,HT_011771,HT_017223,2026-03-26,0,,,0,
PAIR_000343,HT_012834,HT_017133,2026-02-03,1,0.06,39.67,9,5.0
PAIR_000344,HT_011163,HT_014944,2026-02-09,0,,,0,
PAIR_000345,HT_014397,HT_013501,2025-12-14,1,7.56,49.95,13,5.0
PAIR_000346,HT_010954,HT_016545,2025-05-12,0,,,0,
PAIR_000347,HT_017434,HT_017603,2026-02-08,0,,,0,
PAIR_000348,HT_019357,HT_012596,2025-08-22,1,0.78,20.42,7,3.0
PAIR_000349,HT_010637,HT_018614,2026-01-09,1,1.85,52.59,6,5.0
PAIR_000350,HT_012331,HT_013270,2026-03-11,0,,,0,
PAIR_000351,HT_019450,HT_018106,2025-08-04,0,,,0,
PAIR_000352,HT_016469,HT_012213,2026-02-14,1,1.02,68.02,8,5.0
PAIR_000353,HT_018533,HT_013027,2025-11-23,1,2.09,20.42,5,3.0
PAIR_000354,HT_018471,HT_012133,2025-05-16,0,,,0,
PAIR_000355,HT_019787,HT_012783,2025-12-14,1,0.67,33.39,8,5.0
PAIR_000356,HT_019876,HT_012652,2026-02-20,1,2.29,27.1,7,4.0
PAIR_000357,HT_018853,HT_015661,2026-01-16,1,2.01,7.04,10,
PAIR_000358,HT_011576,HT_010704,2025-09-29,0,,,0,
PAIR_000359,HT_011241,HT_019035,2025-05-14,1,3.03,43.99,8,
PAIR_000360,HT_015019,HT_011326,2026-02-26,1,0.2,15.64,10,3.0
PAIR_000361,HT_015998,HT_014841,2026-01-20,1,1.12,49.07,5,
PAIR_000362,HT_015847,HT_014077,2026-03-17,1,0.18,53.05,5,5.0
PAIR_000363,HT_010727,HT_014871,2026-01-23,1,0.14,14.79,11,4.0
PAIR_000364,HT_010285,HT_018347,2025-05-01,0,,,0,
PAIR_000365,HT_018263,HT_018851,2025-06-26,0,,,0,
PAIR_000366,HT_019803,HT_018582,2025-08-10,0,,,0,
PAIR_000367,HT_010891,HT_018491,2026-03-07,1,1.65,41.19,7,4.0
PAIR_000368,HT_011561,HT_016507,2025-11-20,0,,,0,
PAIR_000369,HT_014619,HT_017175,2025-09-10,0,,,0,
PAIR_000370,HT_015912,HT_011711,2025-11-02,1,2.19,16.02,12,
PAIR_000371,HT_017300,HT_013374,2025-05-08,0,,,0,
PAIR_000372,HT_014651,HT_014452,2025-08-25,0,,,0,
PAIR_000373,HT_010247,HT_016466,2025-08-23,0,,,0,
PAIR_000374,HT_012296,HT_015340,2026-01-23,0,,,0,
PAIR_000375,HT_017191,HT_011121,2025-05-18,0,,,0,
PAIR_000376,HT_012833,HT_011601,2025-09-18,0,,,0,
